hold_cnt_id,gameid,home_team,away_team,match_no,date,score_home,score_away
1624,54051,仙台,山形,1,2026/03/22,5,0
1624,54051,仙台,山形,2,2026/04/18,5,0
1624,54051,仙台,山形,3,2026/04/19,1,0
1624,54051,仙台,山形,4,2026/04/12,3,0
1624,54051,仙台,山形,5,2026/04/12,1,0
1624,54054,相模原,湘南,1,2026/02/14,2,0
1624,54054,相模原,湘南,2,2026/04/19,2,0
1624,54054,相模原,湘南,3,2026/04/18,1,2
1624,54054,相模原,湘南,4,2026/04/12,0,3
1624,54054,相模原,湘南,5,2026/04/12,1,0
,54142,札幌,いわき,1,2026/02/08,2,1
,54142,札幌,いわき,2,2026/04/18,2,1
,54142,札幌,いわき,3,2026/04/19,1,0
,54142,札幌,いわき,4,2026/04/11,1,2
,54142,札幌,いわき,5,2026/04/12,3,2
,54143,福島,甲府,1,2026/02/07,1,2
,54143,福島,甲府,2,2026/04/19,1,2
,54143,福島,甲府,3,2026/04/18,0,1
,54143,福島,甲府,4,2026/04/12,2,3
,54143,福島,甲府,5,2026/04/11,2,1
,54144,藤枝,大宮,1,2026/03/14,1,0
,54144,藤枝,大宮,2,2026/04/18,1,0
,54144,藤枝,大宮,3,2026/04/18,1,2
,54144,藤枝,大宮,4,2026/04/11,2,1
,54144,藤枝,大宮,5,2026/04/12,1,4
